action_tool_name,state,reform_category,Action_or_Tool,action_tool_type,description,data_announced_passed,effective_date,project_type,implementation,relevant_urls,executive_orders_leg,EO_Leg_ID
Establishing 48-Business-Hour Inspection Timeline with a Third-Party Inspection Fallback and Virtual Re-Inspections,Idaho,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Change Decision-Making Level,Utilize Data and Technology",Action,Regulatory Change,"This bill amends the Idaho Building Code Act and introduces a 48-Business-Hour time limit on building inspections, and an option to involve a third-party inspector in the case of a delay. The virtual re-inspection provision adds a parallel efficiency mechanism that reduces the need for return site visits for other corrections. This, this legislation addresses the bottlenecks of initial scheduling delay for inspections, as well as repeat physical visit requirements. 
",2025-03-31,2025-07-01,Housing and Other Building Construction,Fully Implemented,"https://legislature.idaho.gov/sessioninfo/billbookmark/?yr=2025&bn=H0266
",rec9mr8Rm5xHVqOwt,H.B 266 (2025)
Centralizing Rulemaking Power Under the Governor,Arkansas,"Shift Culture,Change Decision-Making Level",Action,Regulatory Change,"EO 23-02 bolsters the Governor's authority by requiring Governor pre-approval for any proposed new rule or amendment to an existing rule before a state agency may present it to a legislative committee. In addition, the order applies to all existing pending rules, and for every one new rule an agency proposes, it must simultaneously submit two existing rules for repeal. 

This Executive Order's intention is stated to reduce regulatory burden which may hinder economic development initiatives.
",2023-01-10,2023-01-10,General,Fully Implemented,"https://governor.arkansas.gov/executive_orders/executive-order-to-reduce-government-rules-and-regulations/

",reco6acuESZGAfUrX,EO 23-02 - Reduce Government Rules and Regulations
Requiring Large Data Centers Pay for Low-income Home Weatherization and Energy Conservation,Minnesota,Benefits for Nature/Communities,Action,Regulatory Change,"Large Data Centers are now required to pay between $2 and $5 Million a year into a state program that helps low-income Minnesotans weatherize their homes and conserve energy.
",2025-06-09,,,,"https://www.mncee.org/2025-minnesota-legislative-session-cee-helps-pass-nation-leading-community-benefits-program
",recSfKM2oitE3RSMk,HF 16 / SF 19
Creating a State Housing Ombudsman,Maryland,"Promote Certainty in Permitting Process,Building the Permitting Workforce",Action,Reorganization or Creation of New Government Offices,"- The Department of Housing and Community Development must designate a State Housing Ombudsman to help developers and other stakeholders navigate local, state, and federal permitting processes.
- The ombudsman also serves as a liaison among state agencies, local governments, planning and zoning authorities, developers, and communities.
- That role includes gathering information on local permitting, planning, and zoning processes, identifying bottlenecks, and tracking housing projects’ progress.

",2025-01-01,,Housing and Other Building Construction,,"https://mgaleg.maryland.gov/2022RS/bills/sb/sb0528E.pdf
",reccva5d2F9AwmFiR,EO 01.01.2025.19 / ADDRESSING MARYLAND'S AFFORDABLE HOUSING CRISIS 
Clarifying Requirements and Deadlines for Zoning Approval,Florida,"Shift Culture,Promote Certainty in Permitting Process",Action,Regulatory Change,"Florida Chapter 2025-177 is a comprehensive act that creates uniform standards for how local governments process zoning permits. It requires local governments to specify in writing the minimum information that must be submitted in an application for a zoning approval, rezoning approval, subdivision approval, certification, special exception, or variance. It also revises timeframes for processing applications for development permits or development orders and mandates local governments to issue refunds to applicants if they fail to meet certain deadlines when processing an application .
",,2025-07-01,Housing and Other Building Construction,Fully Implemented,"https://www.flsenate.gov/Session/Bill/2025/1080/BillText/Filed/PDF
",,
Facilitating siting of one recreational vehicle on rural residential-zoned parcels as an additional dwelling unit.,Oregon,"Consolidate or Eliminate Steps,Change Decision-Making Level,Promote Certainty in Permitting Process",Action,Regulatory Change,"Before Chapter 295, (2023 Laws) rural residential zoning limited parcels to a single dwelling per ten acres. SB 1013 amended that framework to permit one recreational vehicle as an additional dwelling unit on qualifying rural residential parcels, without requiring a zone change or state-level discretionary approval. Implementation authority was delegated to counties, which may impose registration, rental agreement, and inspection requirements, meaning practical availability of the use varies by jurisdiction.
",2023-07-13,2024-01-01,"Housing and Other Building Construction,General",Fully Implemented,"https://olis.oregonlegislature.gov/liz/2023r1/Measures/Overview/SB1013
",recNSsUelZkn41BEP,SB 1013 (2024)
Directing appeals of local siting decisions to the state siting board instead of the courts,Massachusetts,Change Decision-Making Level,Action,Other,"Requires appeals of local decisions on consolidated local permits (a tool created by the 2024 Climate Act) to go directly to the state siting board, bypassing the courts.
",,,Clean Energy,Fully Implemented,"https://www.mass.gov/doc/980-cmr-14-de-novo-adjudications-of-consolidated-local-permit-applications/download
",,
Allowing Qualified 3rd Party Reviewers for Environmental Permits,Pennsylvania,"Building the Permitting Workforce,Shift Culture,Promote Certainty in Permitting Process",Action,Regulatory Change,"Created in July 2024 through the bipartisan 2024-25 state budget, SPEED allows qualified third-party professionals (verified by DEP) to conduct the initial technical review of certain permit applications (air quality, earth disturbance, dam safety, individual water obstruction/encroachment, and more). DEP staff then review the QP's recommendation and make the final permit decision, significantly accelerating timelines.
",2024-07-11,2024-07-01,General,Fully Implemented,"https://www.pa.gov/services/dep/speed
",recUPtDVF8mxSLdpP,HB 2310
Enforcing Permitting of Qualified Residential Property in Commercial Zones,Washington,"Shift Culture,Promote Certainty in Permitting Process",Action,Regulatory Change,"WA Chapter 236, 2026 Laws (Concerning Residential Development in Commercial and Mixed-Use Zones) bill prohibits cities and counties planning under the Growth Management Act from excluding residential uses in areas zoned for commercial or mixed-use development. It also establishes an administrative waiver process for ground-floor commercial requirements in residential buildings and supersedes conflicting local rules.
",2026-03-27,2026-06-11,Housing and Other Building Construction,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Senate%20Passed%20Legislature/6026-S2.PL.pdf
",rec0xkf4SfgCnrlt1,"Chapter 236, 2026 Laws"
Inventorying and Cutting Regulations (and Permits),Alabama,"Eliminate Permits/Permitting,Consolidate or Eliminate Steps",Action,Regulatory Change,"EO 735 Instructed all State Agencies to prepare an inventory of existing administrative rules (including permits). The Agencies were then instructed to develop a written plan to streamline its administrative code, and to begin implementation of these plans.
",2023-03-08,2025-03-01,General,Unknown,"https://governor.alabama.gov/newsroom/2023/03/executive-order-735/
",recaZwXq2DpicxLrj,EO 735
Establishing the Office of Renewable Energy Siting and Electric Transmission,New York,Change Decision-Making Level,Action,"Reorganization or Creation of New Government Offices,Regulatory Change","Establishes the ORES, replacing the standard Article 10 siting process for renewable energy projects and transmission lines. 
",2020-03-03,,Clean Energy,Fully Implemented,"https://dps.ny.gov/ores
",recx2v0DhjVU8lsTT,S7508B
Creating Permitting Process for Carbon Capture and Storage,Alaska,Change Decision-Making Level,Action,Regulatory Change,"AK HB 50 creates a two-step permit process and designates DNR as the agency to issue carbon storage exploration licenses and AOGCC as the primary permitting authority for CCS. 

The Act also expands the Regulatory Commission of Alaska's jurisdiction to natural gas and LNG storage facilities.
",2024-07-31,2024-07-31,Other,Fully Implemented,"https://gov.alaska.gov/governor-mike-dunleavy-signs-alaska-energy-bills/

",recZFPzYiEA5wkkgg,"HB 50 - Carbon Storage, Cook Inlet Oil and Gas "
Studying the impact of data centers on electricity prices,New Jersey,Shift Culture,Action,Written Resource,"A 2025 NJ law requires the Board of Public Utilities (BPU) to conduct a comprehensive study on how data centers impact electricity costs in New Jersey within one year of the bill's effective date. The BPU must then submit a report of its findings to the Governor and Legislature within 15 months of the bill's effective date.
",2025-07-08,2025-07-08,Data Centers,Partially Implemented,"https://www.njleg.state.nj.us/bill-search/2024/A5466
",recxnI2XhAiAjWdmr,S4318 / A5466
Updating Provisions in the Permit Application Process for Energy and Transmission Facilities,South Dakota,"Shift Culture,Promote Certainty in Permitting Process,Consolidate or Eliminate Steps",Action,Regulatory Change,"SD 2026 Legislative Session SB 25 (An Act to Update Provisions Related to the Permit Application Process for Proposed Energy and Transmission Facilities) specifies timelines for applicants of proposed energy facilities to inform adjacent property owners and members of the public. It also mandates that the Public Utilities Commission, which as part of its permitting review process can form a voluntary review committee of local stakeholders, notifies members of the committee within 10 days . The committee is dissolved if at least 3 members do not participate, and their local review is not considered by the commission in the issuance of a permit.
",2026-03-04,2026-07-01,"Clean Energy,Fossil Fuels",Not Started,"https://mylrc.sdlegislature.gov/api/Documents/304845.pdf

",recWtXl2AJFX5Zn7w,SD 2026 Legislative Session SB 25
Enhancing Permitting Tools,Washington,Shift Culture,Tool,Regulatory Change,"WA Chapter 166, 2026 Laws (Providing for Enhanced Municipal Permitting Tools for High Capacity Transit Projects) enhances the permitting process for high-capacity transit projects by allowing regional transit authorities to apply for land use and construction permits before acquiring property and to apply for construction permits before a final land use decision is made.
",2026-03-23,2026-06-11,Transportation,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Senate%20Passed%20Legislature/6026-S2.PL.pdf
",rec7BpfjZHSSOkpgS,"Chapter 166, 2026 Laws"
Requiring Municipalities to Report Annual Residential Permit Statuses to the State Government,Maine,"Promote Certainty in Permitting Process,Utilize Data and Technology,Shift Culture",Action,"Regulatory Change,Dashboard/Portal","Chapter 495 (Public Laws, 2025) requires municipalities to standardize and collect residential permit data and send it to the Department of Economic and Community Development. The DECD then publishes the data on housing permits given, demolitions, and status updates on other housing-related permits such that there is state-managed data infrastructure.
This standardization of residential permitting in a publicly accessible dataset creates a baseline against which state agencies, municipalities, and developers alike can measure housing production, and identify permitting bottlenecks or compliance failures. 
",2025-07-07,2025-09-24,Housing and Other Building Construction,Fully Implemented,"https://legislature.maine.gov/legis/bills/display\_ps.asp?LD=1184&snum=132
",rec7Gx1qlYVLtUl4G,"Chapter 495 (Public Laws, 2025) "
Mandating and Expediting Permitting Timelines,South Carolina,Promote Certainty in Permitting Process,Action,Regulatory Change,"The Act requires state agencies and local governments to process permits for “Energy Infrastructure Projects” (EIPs) (a project entailing the construction, placement, authorization, or removal of energy infrastructure, as referred to by SCDES) on an explicit schedule of six months from receipt of the application. If the permit has not been issued within six months, or within any mutually agreed extended deadline, the application is deemed approved by law.
",2025-05-12,2025-05-12,General,Fully Implemented,"https://des.sc.gov/permits-regulations/permit-central/sc-energy-security-act
",recWno2m7umJ5oLLo,"A41, R60, H3309 - Energy Security Act"
Mandating Statewide Accessory Dwelling Unit Allowance by Right on All Single-family Lots,Iowa,"Change Decision-Making Level,Consolidate or Eliminate Steps,Set Projects up for Success,Promote Certainty in Permitting Process",Action,Regulatory Change,"A 2025 law (Chapter 149, 2025 laws) established that every single-family lot in Iowa is legally entitled to at least one accessory dwelling unit (ADU) by right, subject only to reasonable local design and dimensional standards that do not function as a de facto prohibition.
As a result, ADU approvals are no longer at the discretion of local government.
",2025-05-01,2025-07-01,Housing and Other Building Construction,Fully Implemented,"https://www.legis.iowa.gov/docs/publications/LGE/91/Attachments/SF592\_GovLetter.pdf
",recDvQEparFY7a8V6,"Chapter 149, 2025 laws"
Streamlining Wind and Solar Siting Standards,Illinois,"Change Decision-Making Level,Consolidate or Eliminate Steps,Promote Certainty in Permitting Process",Action,Regulatory Change,"The CRGA tightens and clarifies 55 ILCS 5/5‑12020 so counties follow a uniform process for wind and solar siting, instead of navigating varying local standards and processes.
- **Core process and timing rules**
    - Counties that choose to regulate must hold at least one public hearing, and the hearing must conclude within 60 days after the application for a commercial wind or solar facility is filed.
    - The county must make its siting and permitting decision no later than 30 days after the hearing concludes, and it cannot impose a shorter construction‑start window than the five‑year period established in statute.
- **Standardized siting and fencing treatment**
    - The statute codifies setback tables and expressly allows solar perimeter fencing without treating the fence itself as triggering larger setbacks; counties may only impose “reasonable” additional rights‑of‑way setbacks consistent with the statutory scheme.
    - Vegetative screening requirements are constrained by specifying maximum initial heights (five feet at installation) and by narrowing the circumstances under which outside wildlife consultation (such as with the U.S. Fish & Wildlife Service) can be demanded as a condition of local siting approval.
- **​Fee caps and “presumptively reasonable” charges**
    - Application fees for county siting approval or special use permits for commercial wind and solar are deemed presumptively reasonable if they do not exceed the lesser of $5,000 per megawatt of nameplate capacity or $125,000 total.
    - County building permit fees for these facilities are likewise presumptively reasonable if they do not exceed the lesser of $5,000 per megawatt or $75,000 total, preventing localities from using open‑ended fee schedules as a de facto barrier to entry.
",2026-01-08,2026-06-01,Clean Energy,Not Started,"https://gov-pritzker-newsroom.prezly.com/gov-pritzker-signs-historic-clean-and-reliable-grid-affordability-act

",rec2hVZa0dG87UdLk,"SB0025, 104th General Assembly - Clean and Reliable Grid Affordability Act"
Expanding the Definition of Energy Conversion Facility,South Dakota,Promote Certainty in Permitting Process,Action,Regulatory Change,"SD Chapter 193, 2025 Laws (An Act to Include a Hybrid Facility as a Facility to be Regulated by the Public Utilities Commission) expands the definition of energy conversion facility to explicitly include hybrid facilities and encompasses them in the Public Utilities Commission's regulatory framework, including the issuance of permits. It defines hybrid facilities as a facility that has more than one type of generation source and has a single point of interconnection to the distribution or transmission system.
",2025-03-26,2025-07-01,Clean Energy,Fully Implemented,"https://mylrc.sdlegislature.gov/api/Documents/284042.pdf
",recTryP6XBosndrWE,"Chapter 193, 2025 Laws"
CEQA-Exempt Approval of up to 10-Unit Housing on Multifamily Sites,California,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Set Projects up for Success",Action,Regulatory Change,"Chapter 788 (2023 Statutes) requires CEQA-exempt ministerial approval of housing development projects of up to 10 units on qualifying multifamily infill sites less than or equal to five acres, zoned for multifamily residential use.
The project must be located in an urbanized area and not involve the demolition of existing, occupied rental housing in order to be eligible. With these factors considered, this law allows developers to gain access to a streamlined pathway for mid-sized housing options that previously lacked a clear permitting route under previous laws.
",2023-10-11,2024-01-01,"General,Housing and Other Building Construction",Fully Implemented,"https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill\_id=202320240SB684
",recD9XifjDcdNmxtA,Chapter 788 (2023 Statutes)
Imposing a Moratorium on New Administrative Rulemaking and Directed Comprehensive Review of All Existing Agency Rules,Iowa,"Change Decision-Making Level,Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Shift Culture",Action,"Written Resource,Regulatory Change,Other","Executive Order 10 imposed a statewide pause on new administrative rulemaking while requiring all agencies to justify the continued existence of existing rules through a phased review process. 
This Order creates the mechanism through which agency-administered permit rules may be rescinded. The moratorium's primary near-term effect is regulatory stability, wherein no new administrative burdens may be added to permitting processes during the review period. 
Longer-term impact depends on the volume and nature of rule rescissions produced by agency reviews, which have not been comprehensively reported as of June 2026.
",2023-01-10,2023-01-10,General,Partially Implemented,"https://www.legis.iowa.gov/docs/ico/chapter/414.pdf
",reccMUuWshabsq9uJ,"EO 10, 2024"
Establishing Small Business Environmental Support Office,New York,Set Projects up for Success,Action,Reorganization or Creation of New Government Offices,"Establishes a new office to assist small businesses in navigating existing renewable energy, clean air and water, and environmental justice regulations and programs.
",,,"General,Clean Energy,Water",Fully Implemented,"https://esd.ny.gov/small-business-environmental-support-office-sbeso
",,
"Encouraging Permanent Supportive Housing, Transitional Housing, Indoor Emergency Housing, and Indoor Emergency Shelters",Washington,"Shift Culture,Set Projects up for Success",Action,Regulatory Change,"WA Chapter 232, 2026 Laws (Encouraging Permanent Supportive Housing, Transitional Housing, Indoor Emergency Housing, and Indoor Emergency Shelters) requires cities and counties to allow emergency shelters, transitional housing, emergency housing, and permanent supportive housing (STEP) in zones where residential units or hotels are already permitted. It also prohibits them from being located in industrial zones.
",2026-03-27,2025-07-27,Housing and Other Building Construction,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/House%20Passed%20Legislature/2266-S.PL.pdf?q=20260610085501


",recxbKhQQCg1MJAaw,"Chapter 232, 2026 Laws"
Authorizing the Department of Environmental Protection to Put New Regulations Into Effect,West Virginia,Shift Culture,Action,Regulatory Change,"West Virginia Chapter 168, Acts, Regular Session, 2025 places into effect regulatory changes made by the Department of Environmental Protection (DEP) regarding the National Pollutant Discharge Elimination System (NPDES) Program. One change is that the DEP Director is required to re-issue permits before the termination of the existing permit. Another requires the Director to develop alternative permit limits and conditions for alternative operating scenarios or conditions that are reasonably likely to occur and are identified by the permit applicant, at the request of the permittee.
",2025-04-25,2025-04-25,Water,Fully Implemented,"http://www.wvlegislature.gov/Bill_Text_HTML/2025_SESSIONS/RS/bills/hb2233%20sub1.pdf

",recgkfccXYlRDXp9q,"Chapter 168, Acts, Regular Session, 2025"
Updating environmental permitting,Maryland,"Benefits for Nature/Communities,Consolidate or Eliminate Steps",Action,Regulatory Change,"The bill directs the Department to analyze how **S**tate and local laws, permits, actions, and policies affect environmental justice communities. It also includes landfill-related regulatory changes, including methane standards and limited exemptions, but those are framed as regulations and exemptions rather than a broader permit redesign.
",2022-06-01,,"Fossil Fuels,General,Other",,"https://mgaleg.maryland.gov/2022RS/bills/sb/sb0528E.pdf
",recakaubiOMd1MVwh,Maryland Climate Solutions Now Act
Establishing Strategic Growth Plan and Ensuring Local Government Compliance,Colorado,"Change Decision-Making Level,Shift Culture",Action,"Dashboard/Portal,Regulatory Change","Governor Jared Polis issued a series of Executive Orders which aim to pressure local governments to allow more housing and denser development

EO D 2023 014:
- Established Colorado’s “strategic growth” objectives, primarily affordable housing and access to transit, and directs relevant agencies (including CDOT, CEO, DOLA, OEDIT) to inventory their own policies, plans, procedures, and rules that can support those objectives. Agencies are required to coordinate with each other and review their processes to identify and eliminate inefficiencies or possible delays.

EO D 2025 005: 
- Directs the Colorado Department of Local Affairs to determine and update each local government’s compliance with “strategic growth” land use and housing laws, and putting local governments on notice that compliance status will have important implications regarding discretionary funding. 

EO D 2025 011 
- Requires state government agencies to prioritize compliant local governments when awarding competitive grants across 34 funding programs, incentivizing local governments to adhere to state priorities outlined in the strategic growth objectives.
","2025-05-16,2023-08-21,2025-08-13",2025-05-16,"General,Housing and Other Building Construction",Fully Implemented,"https://drive.google.com/file/d/1LU09vIR9DNHOr7eVJAAcxmPG5Ds-Lh9j/view

https://dlg.colorado.gov/compliance-framework-and-guidelines
","recQnf3YZiT0VWLln,recqdOkMb63ot5REM,reci0EG0OQJguWJp5","D 2025 005 - Regarding Strategic Growth through Compliance with State Laws,D 2023 014 - Concerning State Programs that Support Strategic Growth,D 2025 011 -  Amending and Supplementing Executive Order D 2025 005 Regarding Strategic Growth through Compliance with State Laws"
Enhancing Existing Permit Review Timelines for Land Disturbance Permits ,Georgia,Promote Certainty in Permitting Process,Action,Regulatory Change,"SB 447 builds on the existing 45-day framework established for land disturbance permits in O.C.G.A. § 12-7-9 (Georgia's Erosion and Sedimentation Act) by making it stricter by adding deadlines for reviews and written denial requirements. Previously, the 45-day timeline would reset if the applicant submitted an incomplete or noncompliant plan. Under SB 447, the timeframe no longer resets, but instead sets 20 days for a second review upon receiving a new plan, then 14 days for all subsequent reviews, if needed.
",2026-05-11,2026-07-01,Other,Not Started,"https://legiscan.com/GA/bill/SB447/2025
",rec22UfF89usYwyVy,GA SB447 | 2025-2026
Establishing Energy Facilities Siting Board,Massachusetts,Change Decision-Making Level,Action,Reorganization or Creation of New Government Offices,"Creates an independent, 11-person state board to review proposed clean energy infrastructure facilities including renewable generating facilities, energy storage, electric transmission lines; intra-state natural gas pipelines; fossil-fuel generating facilities; and natural gas storage tanks.
",,,"Clean Energy,Fossil Fuels",Fully Implemented,"https://www.mass.gov/orgs/energy-facilities-siting-board
",,
Clarifying Discrepancy on Stormwater Permitting,North Carolina,Promote Certainty in Permitting Process,Action,Regulatory Change,"**Stormwater Program changes to remove discrepancy and encourage re-development.**

This section would clarify some discrepancies between The N.C. Department of Environmental Quality (NCDEQ) and the N.C. Department of Transportation (NCDOT) on stormwater permitting and grandfathered impervious surface regulations for existing developments. This provision will address these issues and speed up re-development of sites across the state.

",2023-10-10,,Water,,"https://ncchamber.com/2023/09/26/nc-legislature-passes-regulatory-reform-act-of-2023-with-bipartisan-support/
",recHwyaHc4NuT7srW,HB 600
,Georgia,,,,,,,,,,,
Establishing a self-certification program for ADUs,Washington,"Shift Culture,Change Decision-Making Level",Action,Regulatory Change,"WA Chapter 22, 2025 Laws (Establishing a self-certification program for accessory dwelling unit project permit applications) allows cities planning under the GMA to have registered architects engage in a self-certification program for building code certifications of accessory dwelling units (ADUs).
",2025-04-07,2025-07-27,Housing and Other Building Construction,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/House%20Passed%20Legislature/1353-S.PL.pdf

",recTiqqNkCKBGl1wv,"Chapter 22, 2025 Laws  "
Prohibiting Solar or Wind Bans/Moratoria ,Illinois,"Promote Certainty in Permitting Process,Change Decision-Making Level",Action,Regulatory Change,"The Act removes counties’ ability to use bans or moratoria as a permitting tool by prohibiting ordinances that “ban or unreasonably restrict” commercial wind or solar facilities that meet state siting criteria, so a county cannot avoid granting permits by declaring the use off‑limits across its jurisdiction.
",2023-01-27,2023-01-27,Clean Energy,Fully Implemented,"https://www.ilga.gov/documents/legislation/publicacts/102/PDF/102-1123.pdf
",recbwxc595ItIk22O,Public Act 102-1123
Updating school construction permitting,Maryland,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Set Projects up for Success",Action,Regulatory Change,"For public school construction, the bill requires the Interagency Commission to establish a waiver process allowing a school system to be excused from net-zero or high-performance requirements when those requirements are not practicable, including where site limitations or cost make compliance infeasible. It also requires consultation on net-zero implementation and ties some requirements to funding availability through the Net-Zero School Grant Fund.
",2022-06-01,,"Housing and Other Building Construction,Clean Energy",Partially Implemented,"https://mgaleg.maryland.gov/2022RS/bills/sb/sb0528E.pdf
",recakaubiOMd1MVwh,Maryland Climate Solutions Now Act
Documenting All State Permits and Creating a Money-Back Guarantee,Connecticut,"Shift Culture,Consolidate or Eliminate Steps,Set Projects up for Success,Promote Certainty in Permitting Process",Action,Permit Cataloging/Mapping,"A 2026 executive order requires all state agencies under Governor Lamont’s authority to compile and submit to his office within a specific period a report containing a list of all licenses, certifications, and permits issued by the agencies and a summary of what they are and how applications are accepted (e.g. paper, email, web portal, or other). Among other information, the reports must also contain data on how many applications are received annually and how long on average it takes to process them. Additionally, agencies must propose a maximum number of days for applications to be completed for each individual license, permit, and certification.

Following receipt of the agency reports, the executive order requires the Office of the Governor to publish a list setting deadlines that each license, certification, and permit must be approved or denied. After publication of that list, if an agency has not completed processing applications within the designated amount of time required for each respective license, certification, and permit, applicants may request a refund of the application fee from the agency.
",2026-01-15,,General,Unknown,"https://portal.ct.gov/governor/news/press-releases/2026/01-2026/governor-lamont-signs-executive-order-to-improve-state-licensing?language=en\_US
",rec7UXeqD6Pn4dgoH,EO 26-1
Amending SB 174 Subdivision Review Framework and Clarifying Review Timelines for Small Municipalities and Reviewing Administrative Land Use Authority (ALUA) Designation Requirements,Utah,"Promote Certainty in Permitting Process,Consolidate or Eliminate Steps",Action,Regulatory Change,"HB 476 (2024) addresses implementation ambiguities in the SB 174 (2023) land use framework, primarily adjusting review timelines for small municipalities and clarifying the role of planning commissions in the two-step approval process. It does not introduce new substantive requirements.
",2024-03-19,2024-05-01,General,Fully Implemented,"https://le.utah.gov/~2024/bills/static/HB0476.html
",recNA7v0yhXj7ddaV,"H.B 476, 2024"
Removing State Approval for Developers in Brownfields Redevelopment Program,North Carolina,"Eliminate Permits/Permitting,Consolidate or Eliminate Steps,Change Decision-Making Level",Action,Regulatory Change,"**Allowing developers working in the Brownfields Redevelopment Program to perform inspections and investigations without approval from the state to speed up redevelopment.**

Currently in the NC Brownfields Redevelopment Program (NCBP) the department is prohibiting developers from performing their own inspections on the front-end and instead must wait for the Department to approve them. This is delaying projects and stifling re-development projects in the state. This provision should speed up the process and the NC Chamber looks forward to seeking a greater reform of the NCBP statute in the future.

",2023-10-10,,Other,,"https://ncchamber.com/2023/09/26/nc-legislature-passes-regulatory-reform-act-of-2023-with-bipartisan-support/
",recHwyaHc4NuT7srW,HB 600
Ensuring the right to use a Private Provider for Building Inspections,Florida,Shift Culture,Action,Regulatory Change,"Florida Chapter 2026-63 requires permit fees charged by local jurisdictions to reflect the actual cost incurred when an owner retains a private provider for building inspection services 
It also prohibits officials from charging punitive, administrative, or additional fees, including fees for building inspections or site review, when an owner uses a private provider and allows a property owner to choose to use a private provider at any time. 


",2026-05-06,2026-07-01,Housing and Other Building Construction,Fully Implemented,"https://www.flsenate.gov/Session/Bill/2026/803/BillText/er/PDF
",recKXK1O32illiQ1K,Chapter 2026-63
Coordinating with the Federal Permitting Improvement Steering Council,Alaska,Change Decision-Making Level,Action,Reorganization or Creation of New Government Offices,"Here's a tightened version:
Alaska became the first state to sign an MOU with the Federal Permitting Council, creating a coordination structure between the state's Office of Project Management and Permitting (within DNR) and the Council to jointly identify projects eligible for FAST-41 coverage. FAST-41 is a voluntary federal program under Title 41 of the Fixing America's Surface Transportation Act that streamlines environmental reviews for major infrastructure projects. Coverage under FAST-41 is designed to provide:
- **Federal support:** assigned staff, regular coordination calls, a state-specific application template, and customized project tracking
- **Timeline predictability:** permitting schedules and public engagement opportunities posted on the Federal Permitting Dashboard at permitting.gov
- **Transparency projects:** a category that makes schedules and public comment opportunities publicly visible for accountability
- **Direct engagement:** the Council can brief project sponsors on FAST-41 processes

",2025-08-27,2025-08-27,"General,Transportation",Fully Implemented,"https://gov.alaska.gov/wp-content/uploads/Permitting-Council-SOA-MOU.pdf
https://gov.alaska.gov/governor-dunleavy-announces-agreement-with-federal-permitting-council-to-streamline-infrastructure-development/
",recbPdBzoMROq4WLw,Memorandum of Understanding between The Federal Permitting Improvement Steering Council and The State of Alaska to Facilitate Implementation ofFAST-41 for Covered Projects and Transparency Projects
Reforming Community Post-Storm Permitting,Florida,"Shift Culture,Promote Certainty in Permitting Process",Action,Regulatory Change,"FL Chapter 2025-190 is a comprehensive act that reforms permitting procedures for post-storm permitting. Counties are required to implement special procedures to expedite post-storm permits, prohibited from raising fees for 180 days if the Governor has declared a county in a state of emergency and need to ensure permitting staff are available as soon as is practicable. The intent of the act is ""to accommodate the building of additional developments to ameliorate the acute affordable housing and building permit allocation shortage"".
",2025-06-26,2025-07-01,Housing and Other Building Construction,Fully Implemented,"https://www.flsenate.gov/Session/Bill/2025/180/BillText/Filed/PDF
",recJHTzD6r80COjtd,Chapter 2025-190
"Providing a Money-Back Guarantee for All State Permits, Licenses, and Certifications",Pennsylvania,"Promote Certainty in Permitting Process,Shift Culture",Action,Regulatory Change,"Launched October 31, 2023, PAyBACK is an online money-back guarantee system for permit, license, and certification applicants. It publishes standard processing times for all ~2,400 permits, licenses, and certifications and allows applicants to request a refund if an agency misses its deadline. 

According to [PA DEP](https://www.pa.gov/agencies/dep/newsroom/2026-01-27-dep-achieved-historic-success-in-permitting-in-2025-eliminates-backlog), With more than 485,000 PAyBack eligible permits reviewed by DEP since 2022, DEP has never missed a deadline under the program.
",2023-01-31,2023-10-31,General,Fully Implemented,"https://payback.pa.gov/Home/who
",recBjS53UUY9PKANu,EO 2023-07
Streamlining Administrative Rulemaking and Reviewing Inefficiencies in Governance,Iowa,"Shift Culture,Consolidate or Eliminate Steps,Utilize Data and Technology,Promote Certainty in Permitting Process",Action,Regulatory Change,"In 2024, Governor Reynolds signed into law Chapter 414 (2024 laws, House File 2276) requiring cities to treat maternity group homes, residential facilities providing housing and support services for pregnant women and new mothers, as a permitted use by right in all residential zones, including single-family zones. 
The law also prohibits local governments from requiring a special use permit or rezoning for such facilities, and voids any deed restriction or covenant that would prohibit their establishment.
",2024-05-01,2024-07-01,"Housing and Other Building Construction,General",Partially Implemented,"https://www.legis.iowa.gov/docs/ico/chapter/414.pdf
",recnytDZjW11LGmqy,"Chapter 414, 2024 laws"
